Reference, Quantity, Value, Manufacturer_Name, Manufacturer_Part_Number
C1 C2 ,2,1uF,Taiyo Yuden ,EMK107BJ105KA-T 
C13 ,1,2.2uF,Taiyo Yuden,EMK107BJ225KA-T
C14 C11 C10 C6 C4 C5 C8 ,7,100nF,AVX,0603YC104MAT4A
C3 ,1,47pF,Wurth Elektronik,885012006021
C9 C7 ,2,10uF,Taiyo Yuden,EMK107BBJ106MA-T
D1 ,1,PRTR5V0U2X,Nexperia,"PRTR5V0U2X,215"
FB1 ,1,221R,Laird Performance Materials,MI0603L221R-10
IC1 ,1,SE050C1HQ1_Z01SCZ,Nexperia,SE050C1HQ1/Z01SCZ
L1 ,1,4.7uH,TDK,MLZ1608M4R7WT
R2 ,1,10k,Vishay,CRCW060310K0JNEBC
R3 R4 ,2,560R,Yageo,RC0603FR-07560RL
R5 R6 ,2,33R,Vishay,CRCW060333R0FKEAC
SW1 ,1,PTS810 SJK 250 SMTR LFS,C&K Switches,PTS810SJK250SMTRLFS
U1 ,1,LPC55S28JBD64,NXP,LPC55S28JBD64
U2 ,1,TLV75533PDRV,TI,TLV75533PDRV
,25,,,
